adm2_code,governorate,district,first_year,latest_year,first_radiance,latest_radiance,latest_median,latest_q95,latest_good_quality,change_percent,log_radiance_slope_per_year
IRQ016003,Salah Al-Din,Balad,2012,2024,0.2473120093345642,2.6027064323425293,0.7320920026412594,11.635970797580681,0.9996971794428102,952.3979160355219,0.09896677725902789
IRQ010003,Duhok,Sumail,2012,2024,1.0536316633224487,2.745617628097534,0.7462891632815439,12.08391313081386,1.0,160.58609698950147,0.05219818012129133
IRQ017002,Thi Qar,Al-Nasiriya,2012,2024,0.4471307396888733,2.9933249950408936,0.6306877568677386,10.213697397973915,1.0,569.4518469304385,0.09247404676148253
IRQ013004,Kirkuk,Kirkuk,2012,2024,1.3281404972076416,3.010467052459717,0.6386006692699056,10.982478552821236,1.0,126.66781555031976,0.05276288466879383
IRQ003002,Al-Muthanna,Al-Rumaitha,2012,2024,0.5430396795272827,3.0145602226257324,0.772164251985948,13.010203925340488,1.0,455.12706276821507,0.08139193261022912
IRQ001001,Al-Anbar,Al-Falluja,2012,2024,0.4442354440689087,3.2038755416870117,0.6612697811098369,15.174302500227595,0.91056133221784,621.2111470308602,0.112601268322144
IRQ009002,Diyala,Al-Muqdadiya,2012,2024,0.7803323268890381,3.210894823074341,1.0533462350268656,13.823279412158612,1.0,311.4778681379587,0.07306381544819436
IRQ014006,Maysan,Qalat Saleh,2012,2024,0.7652368545532227,3.304802179336548,1.5661169001350996,9.98261879511254,1.0,331.8665730319575,0.07419723608513329
IRQ015002,Ninewa,Al-Hamdaniya,2012,2024,0.9245883226394653,3.4022114276885986,1.33068987654562,12.157308983812777,1.0,267.97040849230575,0.08946173952062159
IRQ010002,Duhok,Duhok,2012,2024,1.607554316520691,3.5006699562072754,0.7891193616614695,15.355173980793161,1.0,117.76371225725973,0.04301848881478246
IRQ007001,Babil,Al-Hashimiya,2012,2024,0.3174346685409546,3.703127384185791,1.7422375838921234,11.400126766101703,1.0,1066.579378744834,0.1032332007175947
IRQ005004,Al-Qadissiya,Al-Shamiya,2012,2024,0.5349260568618774,3.773488759994507,1.6771637865098585,10.948366848972311,1.0,605.4224993509439,0.09695461162811599
IRQ007003,Babil,Al-Mahaweel,2012,2024,0.3785850703716278,4.1011738777160645,2.217970096817147,13.631282825198621,1.0,983.2899125394084,0.10342077679664484
IRQ016006,Salah Al-Din,Tikrit,2012,2024,0.9325317740440369,4.130606174468994,1.1434694946153423,18.071457624332904,1.0,342.9453547256755,0.09674658054463449
IRQ015009,Ninewa,Tilkaef,2012,2024,0.7428483366966248,4.181035041809082,1.1119469111439615,19.280139027101576,1.0,462.8383123803903,0.1054267300582019
IRQ017005,Thi Qar,Suq Al-Shoyokh,2012,2024,0.46035829186439514,4.181130409240723,0.9004683339909386,18.416041551190233,0.9997451580020388,808.2339740873686,0.1181887577874079
IRQ017004,Thi Qar,Al-Shatra,2012,2024,0.6348762512207031,4.371713161468506,1.35707899937828,13.998977806094285,1.0,588.592958558905,0.10890519824702584
IRQ002004,Al-Basrah,Al-Midaina,2012,2024,3.395993947982788,4.474924564361572,2.9034057116802456,11.739732011536537,1.0,31.770687254011932,0.00751430622893446
IRQ015004,Ninewa,Al-Mosul,2012,2024,1.1860554218292236,4.578670024871826,0.665768600165031,20.13657634616771,1.0,286.04182743924883,0.10105178225887826
IRQ004002,Al-Najaf,Al-Manathera,2012,2024,0.620811402797699,4.622261047363281,1.9865150046183788,16.86820791377811,1.0,644.5515701762193,0.09796400399387346
IRQ014002,Maysan,Al-Kahla,2012,2024,1.0500390529632568,4.668488502502441,1.3797441605711218,12.714780672114188,0.993904836806921,344.6014164261567,0.08939184877193206
IRQ002005,Al-Basrah,Al-Qurna,2012,2024,1.8809702396392822,4.689638614654541,2.7398666053461582,13.008047183511122,0.9996513249651325,149.32019209160288,0.036670296212290676
IRQ002007,Al-Basrah,Shat Al-Arab,2012,2024,1.1450271606445312,4.711928367614746,2.052469153990718,13.804741008324271,1.0,311.5123666553394,0.06994439684805205
IRQ007004,Babil,Al-Mussyab,2012,2024,1.0596389770507812,5.484893321990967,2.7185690824939566,23.56562200843129,1.0,417.6190609047513,0.0925258201316075
IRQ006001,Al-Sulaymaniyah,Al-Sulaymaniyah,2012,2024,2.934086561203003,5.674988746643066,0.6797428784768451,40.60456756807641,1.0,93.41585969829968,0.03959802908579765
IRQ009004,Diyala,Baquba,2012,2024,1.5826274156570435,5.897030830383301,1.7672316640385926,27.72272617029157,1.0,272.6101779890556,0.0706243101948835
IRQ008004,Baghdad,Al-Mada'in,2012,2024,0.9761838912963867,6.034709930419922,2.5440173438661815,22.746142145606836,1.0,518.1939677785235,0.10044766451148916
IRQ012003,Kerbala,Kerbela,2012,2024,0.9664174914360046,6.554980754852295,0.8634617728947226,33.7369417960909,0.9594745484400656,578.2762949698081,0.098608069222374
IRQ003004,Al-Muthanna,Al-Samawa,2012,2024,1.2045228481292725,6.579436302185059,1.3873523275303195,27.424534693993756,1.0,446.22760476511417,0.09385453528461282
IRQ005002,Al-Qadissiya,Al-Diwaniya,2012,2024,1.4352136850357056,6.696591854095459,1.7022477452742097,35.03943562878967,1.0,366.59197330109487,0.09193755369376777
